league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
Italy Serie A,0.15586590002828152,0.15000000000000002,0.02337988500424223,55,0.5107,55.323,29,41,55,70,79,7.311881930237671,-0.04417467391866123
Italy Serie A,0.15586590002828152,0.2,0.031173180005656304,55,0.4893,55.7435,27,41,56,70,84,7.335140637971292,-0.1013613830594024
Italy Serie A,0.15586590002828152,0.25,0.03896647500707038,55,0.4586,56.1424,31,42,56,70,84,7.285700404424979,-0.15680029874768994
Italy Serie A,0.15586590002828152,0.30000000000000004,0.04675977000848446,55,0.4481,56.5104,30,43,56,71,83,7.2038657266873605,-0.20966520716850484
Italy Serie A,0.15586590002828152,0.35000000000000003,0.05455306500989854,55,0.4217,57.0193,31,43,57,71,85,7.331705320066405,-0.2754202346994644
Italy Serie A,0.15586590002828152,0.4,0.06234636001131261,55,0.3902,57.5533,31,43,58,72,83,7.232702835664611,-0.3530215547374107
Italy Serie A,0.15586590002828152,0.45,0.07013965501272669,55,0.3646,58.0661,31,44,58,73,88,7.382342493278729,-0.41532887464805873
Italy Serie A,0.15586590002828152,0.5,0.07793295001414076,55,0.3487,58.4972,31,44,58,73,87,7.364850050179308,-0.47485012948971783
Italy Serie A,0.15586590002828152,0.55,0.08572624501555484,55,0.3244,58.8349,33,44,59,73,86,7.341378043198519,-0.5223678684620897
Italy Serie A,0.15586590002828152,0.6000000000000001,0.09351954001696892,55,0.2927,59.4065,31,45,59,74,87,7.210454688553391,-0.6111265087062162
Italy Serie A,0.15586590002828152,0.65,0.101312835018383,55,0.285,59.7278,32,45,60,74,92,7.314428019040489,-0.6463663307223574
Italy Serie A,0.15586590002828152,0.7000000000000001,0.10910613001979708,55,0.2608,60.2818,31,46,60,75,88,7.361005855229302,-0.71753780717994875
Italy Serie A,0.15586590002828152,0.75,0.11689942502121115,55,0.232,60.8476,32,47,61,75,88,7.247773952237078,-0.8068132420431098
